created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-10-29T12:15:45+00:00,1,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2025-10-29T12:16:10+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2025-10-29T12:16:30+00:00,3,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2025-10-29T13:33:46+00:00,4,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2025-10-29T13:34:10+00:00,5,210.90,0.00,50.00,0.00,0.00,0.00,,,,
2025-10-29T13:34:33+00:00,6,210.90,0.00,50.00,0.00,0.00,0.00,,,,
2025-10-29T13:34:56+00:00,7,210.70,0.00,50.00,0.00,0.00,0.00,,,,
2025-10-29T13:35:17+00:00,8,210.40,0.00,50.00,0.00,0.00,0.00,,,,
2025-10-29T13:35:41+00:00,9,213.10,0.00,50.00,0.00,0.00,0.00,,,,
2025-10-29T13:35:57+00:00,10,212.20,0.16,49.90,20.80,0.00,0.63,,,,
2025-10-29T13:36:18+00:00,11,213.20,0.16,50.00,21.00,0.00,0.63,,,,
2025-10-29T13:36:38+00:00,12,213.00,0.16,50.00,21.00,0.00,0.64,,,,
2025-10-29T13:36:54+00:00,13,211.60,0.15,49.90,20.50,0.00,0.63,,,,
2025-10-29T13:37:14+00:00,14,212.90,0.12,50.00,17.00,0.00,0.65,,,,
2025-10-29T13:37:38+00:00,15,213.70,0.12,50.00,17.20,0.00,0.65,,,,
2025-10-29T13:38:00+00:00,16,213.90,0.12,50.00,17.20,0.00,0.65,,,,
2025-10-29T13:38:24+00:00,17,213.30,0.12,50.00,16.90,0.00,0.65,,,,
2025-10-29T13:38:39+00:00,18,211.40,0.11,50.00,16.70,0.00,0.75,,,,
2025-10-29T13:39:11+00:00,19,211.40,0.21,50.00,32.80,0.00,0.75,,,,
2025-10-29T13:39:33+00:00,20,210.20,0.21,50.00,32.40,0.00,0.74,,,,
2025-10-29T13:39:48+00:00,21,210.60,0.21,50.00,32.40,0.00,0.74,,,,
2025-10-29T13:40:07+00:00,22,210.30,0.21,50.00,32.20,0.00,0.74,,,,
2025-10-29T13:40:35+00:00,23,210.30,0.12,49.90,16.80,0.00,0.67,,,,
2025-10-29T13:40:53+00:00,24,206.00,0.21,50.00,31.50,0.00,0.74,,,,
2025-10-29T13:41:15+00:00,25,207.20,0.21,50.00,31.60,0.00,0.74,,,,
2025-10-29T13:41:44+00:00,26,206.80,0.21,50.00,31.40,0.00,0.74,,,,
2025-10-29T13:42:00+00:00,27,207.40,0.20,50.00,31.40,0.00,0.74,,,,
2025-10-29T13:42:20+00:00,28,211.00,0.21,50.00,32.00,0.00,0.74,,,,
2025-10-29T13:42:43+00:00,29,211.50,0.20,50.00,32.00,0.00,0.74,,,,
2025-10-29T13:43:07+00:00,30,210.90,0.20,50.00,31.80,0.00,0.74,,,,
2025-10-29T13:43:29+00:00,31,210.60,0.20,50.00,31.70,0.00,0.74,,,,
2025-10-29T13:43:52+00:00,32,203.20,0.20,50.00,30.60,0.00,0.74,,,,
2025-10-29T13:44:15+00:00,33,206.80,0.20,50.00,31.00,0.00,0.74,,,,
2025-10-29T13:44:36+00:00,34,206.80,0.20,50.00,30.80,0.00,0.73,,,,
2025-10-29T13:45:07+00:00,35,208.60,0.20,50.00,31.00,0.01,0.74,,,,
2025-10-29T13:45:35+00:00,36,213.00,0.20,50.00,31.50,0.01,0.74,,,,
2025-10-29T13:45:54+00:00,37,213.90,0.20,50.00,31.60,0.01,0.74,,,,
2025-10-29T13:46:18+00:00,38,215.00,0.20,50.00,31.70,0.01,0.74,,,,
2025-10-29T13:46:41+00:00,39,214.40,0.20,50.00,31.60,0.01,0.74,,,,
2025-10-29T13:47:03+00:00,40,214.80,0.20,49.90,31.50,0.01,0.74,,,,
2025-10-29T13:47:27+00:00,41,214.30,0.20,50.00,31.30,0.01,0.74,,,,
2025-10-29T13:47:50+00:00,42,214.30,0.20,50.00,31.10,0.01,0.74,,,,
2025-10-29T13:48:12+00:00,43,211.00,0.11,50.00,16.90,0.01,0.70,,,,
2025-10-29T13:48:40+00:00,44,203.80,3.29,50.00,670.30,0.01,1.00,,,,
2025-10-29T13:49:00+00:00,45,204.80,3.30,50.00,674.90,0.02,1.00,,,,
2025-10-29T13:49:22+00:00,46,205.60,3.30,50.00,678.30,0.02,1.00,,,,
2025-10-29T13:49:48+00:00,47,205.30,3.29,50.00,675.00,0.03,1.00,,,,
2025-10-29T13:50:07+00:00,48,205.10,3.28,50.00,672.00,0.03,1.00,,,,
2025-10-29T13:50:32+00:00,49,204.40,3.26,50.00,666.70,0.03,1.00,,,,
2025-10-29T13:50:57+00:00,50,205.10,3.27,50.00,670.00,0.04,1.00,,,,
